"Freq [GHz]","IWaveTheta [deg]","IWavePhi [deg]","dB(MonostaticRCSTheta) []"
10,90,0,26.8657477292638
10,90,1,21.6922635266611
10,90,2,8.59248863933014
10,90,3,18.0442402235126
10,90,4,21.3183809870364
10,90,5,21.289266211153
10,90,6,25.2078399875648
10,90,7,13.994350685922
10,90,8,17.9549314159741
10,90,9,19.7275469934228
10,90,10,15.8229482825879
10,90,11,18.2490379112204
10,90,12,19.4600283698958
10,90,13,21.4617022201659
10,90,14,22.1755342005994
10,90,15,24.6336591427922
10,90,16,27.6427080410919
10,90,17,26.2492202057161
10,90,18,24.8890755197551
10,90,19,24.7278138182959
10,90,20,27.0263508955384
10,90,21,25.371828788327
10,90,22,28.9954600502834
10,90,23,28.2520501657857
10,90,24,29.3993308640432
10,90,25,28.8791260716549
10,90,26,28.9746492249932
10,90,27,29.4092335416635
10,90,28,28.5235735401845
10,90,29,30.6889711490341
10,90,30,30.4600250532893
10,90,31,29.0864949041939
10,90,32,32.1377539167815
10,90,33,31.3069508623975
10,90,34,31.4657405795651
10,90,35,32.5101793795512
10,90,36,32.7059135958761
10,90,37,32.0895657524947
10,90,38,31.7444155380872
10,90,39,31.8255280983866
10,90,40,31.7507915938009
10,90,41,32.2245080146165
10,90,42,32.1157211577366
10,90,43,32.0013864883711
10,90,44,32.0483372969292
10,90,45,32.4093832080883
10,90,46,33.0879817462219
10,90,47,32.5423950198693
10,90,48,32.5083448377659
10,90,49,31.269473233857
10,90,50,31.659957066033
10,90,51,31.413276777116
10,90,52,32.36280743507
10,90,53,31.7622843796781
10,90,54,32.2343126900212
10,90,55,31.7692025415111
10,90,56,30.8663746058765
10,90,57,30.5405075816543
10,90,58,30.8353338857537
10,90,59,30.4976798595766
10,90,60,30.2594107363248
10,90,61,32.0114864477712
10,90,62,29.9335653740314
10,90,63,29.1473639730732
10,90,64,31.7678167189505
10,90,65,30.3002049072344
10,90,66,30.9366060196488
10,90,67,27.7847727072991
10,90,68,27.5589104576895
10,90,69,27.8286672140536
10,90,70,26.981092516546
10,90,71,26.5092915253207
10,90,72,24.9192264894646
10,90,73,25.3042130625644
10,90,74,24.282826035472
10,90,75,22.2149763252499
10,90,76,24.2567411880666
10,90,77,22.2900557411009
10,90,78,18.1413933265608
10,90,79,18.8163558715897
10,90,80,18.7945536570855
10,90,81,30.0595720360006
10,90,82,30.7423979937584
10,90,83,30.604783466545
10,90,84,33.313529138124
10,90,85,32.7924971078004
10,90,86,30.2333966077017
10,90,87,36.0567859857953
10,90,88,38.5844780030593
10,90,89,42.0331365287897
10,90,90,55.4241781778976
10,90,91,37.2512086343335
10,90,92,32.2330773234541
10,90,93,27.7954075502574
10,90,94,23.9656963437081
10,90,95,32.714041214203
10,90,96,33.9955429230898
10,90,97,27.1398070310047
10,90,98,27.1951079754453
10,90,99,26.2488507017473
10,90,100,31.0609328158983
10,90,101,21.7271920531278
10,90,102,6.94189730275581
10,90,103,11.664422536757
10,90,104,13.8765670861215
10,90,105,18.104714847952
10,90,106,15.2753557253285
10,90,107,16.0992790972166
10,90,108,0.354769942588843
10,90,109,4.6078616179529
